,TIMESTAMP_MS,COUNTER,DEVICE_ID,PULSE_BPM,SPO2_PCT,SPO2_STATUS,PLETH,BATTERY_PCT,RED_ADC,IR_ADC,PERFUSION_INDEX
210001,2100890,210098,4,87,99.9,0,51399,94.2,158005,166359,0.6
210002,2100900,210099,4,87,99.9,0,50011,94.2,158023,166381,0.6
210003,2100910,210100,4,87,99.9,0,48555,94.2,158035,166386,0.6
210004,2100920,210101,4,87,99.9,0,47298,94.2,158071,166444,0.6
210005,2100930,210102,4,87,99.9,0,46175,94.2,158099,166498,0.6
210006,2100940,210103,4,87,99.9,0,45049,94.2,158100,166513,0.6
210007,2100950,210104,4,87,99.9,0,43989,94.2,158109,166577,0.6
210008,2100960,210105,4,87,99.9,0,43062,94.2,158127,166589,0.6
210009,2100970,210106,4,87,99.9,0,42132,94.2,158151,166619,0.6
210010,2100980,210107,4,87,99.9,0,41134,94.2,158159,166659,0.6
210011,2100990,210108,4,87,99.9,0,40200,94.2,158174,166706,0.6
210012,2101000,210109,4,87,99.9,0,39197,94.2,158215,166741,0.6
210013,2101010,210110,4,87,99.9,0,38190,94.2,158204,166751,0.6
210014,2101020,210111,4,87,99.9,0,37181,94.2,158229,166783,0.6
210015,2101030,210112,4,87,99.9,0,36100,94.2,158264,166826,0.6
210016,2101040,210113,4,87,99.9,0,35016,94.2,158269,166849,0.6
210017,2101050,210114,4,87,99.9,0,33859,94.2,158290,166916,0.6
210018,2101060,210115,4,87,99.9,0,32630,94.2,158314,166913,0.6
210019,2101070,210116,4,87,99.9,0,31396,94.2,158313,166940,0.6
210020,2101080,210117,4,87,99.9,0,30158,94.2,158298,166963,0.6
210021,2101090,210118,4,87,99.9,0,28915,94.2,158340,167022,0.6
210022,2101100,210119,4,87,99.9,0,27737,94.2,158331,167043,0.6
210023,2101110,210120,4,87,99.9,0,26556,94.2,158374,167067,0.6
210024,2101120,210121,4,87,99.9,0,25441,94.2,158372,167117,0.6
210025,2101130,210122,4,87,99.9,0,24323,94.2,158406,167174,0.6
210026,2101140,210123,4,87,99.9,0,23272,94.2,158450,167166,0.6
210027,2101150,210124,4,87,99.9,0,22219,94.2,158466,167214,0.6
210028,2101160,210125,4,87,99.9,0,21164,94.2,158461,167299,0.6
210029,2101170,210126,4,87,99.9,0,20107,94.2,158481,167270,0.6
210030,2101180,210127,4,87,99.9,0,19188,94.2,158513,167339,0.6
210031,2101190,210128,4,87,99.9,0,18268,94.2,158507,167345,0.6
210032,2101200,210129,4,87,99.9,0,17347,94.2,158519,167349,0.6
210033,2101210,210130,4,87,99.9,0,16425,94.2,158471,167308,0.6
210034,2101220,210131,4,87,99.9,0,15572,94.2,158447,167234,0.6
210035,2101230,210132,4,87,99.9,0,14719,94.2,158396,167097,0.6
210036,2101240,210133,4,87,99.9,0,14006,94.2,158319,166959,0.6
210037,2101250,210134,4,87,99.9,0,13433,94.2,158235,166780,0.6
210038,2101260,210135,4,87,99.9,0,13139,94.2,158146,166633,0.6
210039,2101270,210136,4,87,99.9,0,13126,94.2,158081,166513,0.6
210040,2101280,210137,4,87,99.9,0,13534,94.2,158021,166416,0.6
210041,2101290,210138,4,87,99.9,0,14433,94.2,158009,166328,0.6
210042,2101300,210139,4,87,99.9,0,15894,94.2,157974,166292,0.6
210043,2101310,210140,4,87,99.9,0,17919,94.2,157947,166246,0.6
210044,2101320,210141,4,87,99.9,0,20438,94.2,157939,166181,0.6
210045,2101330,210142,4,87,99.9,0,23456,94.2,157902,166149,0.6
210046,2101340,210143,4,87,99.9,0,26762,94.2,157895,166094,0.6
210047,2101350,210144,4,87,99.9,0,30361,94.2,157887,166086,0.6
210048,2101360,210145,4,87,99.9,0,34114,94.2,157879,166056,0.6
210049,2101370,210146,4,87,99.9,0,37881,94.2,157863,166029,0.6
210050,2101380,210147,4,87,99.9,0,41517,94.2,157862,166008,0.6
210051,2101390,210148,4,87,99.9,0,45017,94.2,157834,165997,0.6
210052,2101400,210149,4,87,99.9,0,48166,94.2,157834,165965,0.6
210053,2101410,210150,4,87,99.9,0,50890,94.2,157833,165967,0.6
210054,2101420,210151,4,87,99.9,0,53329,94.2,157827,165951,0.6
210055,2101430,210152,4,87,99.9,0,55339,94.2,157854,165966,0.6
210056,2101440,210153,4,87,99.9,0,56848,94.2,157862,166003,0.6
210057,2101450,210154,4,87,99.9,0,57928,94.2,157856,166072,0.6
210058,2101460,210155,4,87,99.9,0,58649,94.2,157880,166078,0.6
210059,2101470,210156,4,87,99.9,0,59083,94.2,157917,166145,0.6
210060,2101480,210157,4,87,99.9,0,59088,94.2,157941,166191,0.6
210061,2101490,210158,4,87,99.9,8,58736,94.2,157982,166225,0.6
210062,2101500,210159,4,87,99.9,0,58171,94.2,157988,166215,0.6
210063,2101510,210160,4,87,99.9,0,57248,94.2,157982,166245,0.6
210064,2101520,210161,4,87,99.9,0,56040,94.2,157989,166265,0.6
210065,2101530,210162,4,87,99.9,0,54761,94.2,157968,166279,0.6
210066,2101540,210163,4,87,99.9,0,53268,94.2,157986,166279,0.6
210067,2101550,210164,4,87,99.9,0,51704,94.2,158028,166310,0.6
210068,2101560,210165,4,87,99.9,0,50139,94.2,158019,166336,0.6
210069,2101570,210166,4,87,99.9,0,48574,94.2,158030,166353,0.6
210070,2101580,210167,4,87,99.9,0,47007,94.2,158044,166381,0.6
210071,2101590,210168,4,87,99.9,0,45582,94.2,158057,166429,0.6
210072,2101600,210169,4,87,99.9,0,44228,94.2,158102,166431,0.6
210073,2101610,210170,4,87,99.9,0,43015,94.2,158097,166485,0.6
210074,2101620,210171,4,87,99.9,0,41800,94.2,158110,166539,0.6
210075,2101630,210172,4,87,99.9,0,40655,94.2,158126,166559,0.6
